symbol,con,son,cnt,eje,rel,lat,nas,lab,rnd,cor,dor,frn,hgt,atr,vce,crk,brt,dst,lng
m,+,+,-,-,-,-,+,+,-,0,-,0,0,-,+,-,-,-,-
n,+,+,-,-,-,-,+,-,-,2,-,0,0,-,+,-,-,+,-
J,+,+,-,-,-,-,+,-,-,4,-,+,+,-,+,-,-,+,-
p,+,-,-,-,-,-,-,+,-,0,-,0,0,-,-,-,-,-,-
b,+,-,-,-,-,-,-,+,-,0,-,0,0,-,+,-,-,-,-
t,+,-,-,-,-,-,-,-,-,2,-,0,0,-,-,-,-,-,-
d,+,-,-,-,-,-,-,-,-,2,-,0,0,-,+,-,-,-,-
t_d,+,-,-,-,-,-,-,-,-,1,-,0,0,-,-,-,-,-,-
d_d,+,-,-,-,-,-,-,-,-,1,-,0,0,-,+,-,-,-,-
c,+,-,-,-,-,-,-,-,-,4,-,+,+,-,-,-,-,+,-
J/,+,-,-,-,-,-,-,-,-,4,-,+,+,-,+,-,-,+,-
p\,+,-,+,-,-,-,-,+,-,0,-,0,0,-,-,-,-,+,-
B,+,-,+,-,-,-,-,+,-,0,-,0,0,-,+,-,-,+,-
f,+,-,+,-,-,-,-,+,-,0,-,0,0,-,-,-,-,-,-
v,+,-,+,-,-,-,-,+,-,0,-,0,0,-,+,-,-,-,-
T,+,-,+,-,-,-,-,-,-,1,-,0,0,-,-,-,-,+,-
D,+,-,+,-,-,-,-,-,-,1,-,0,0,-,+,-,-,+,-
s_d,+,-,+,-,-,-,-,-,-,1,-,0,0,-,-,-,-,-,-
z_d,+,-,+,-,-,-,-,-,-,1,-,0,0,-,+,-,-,-,-
s,+,-,+,-,-,-,-,-,-,2,-,0,0,-,-,-,-,-,-
z,+,-,+,-,-,-,-,-,-,2,-,0,0,-,+,-,-,-,-
